subject,block,trial,mu1,mu2,choice,reward,RT,state,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU
1,5,9,-2,-11,1,-10,503,48,1.5555555555555554,1.1111111111111112,3.333333333333334,-2.111111111111111,-3.6666666666666665,2.1081851067789197,-0.771649304961094
1,5,10,-2,-11,0,-3,351,49,3.138888888888889,1.1111111111111112,2.5000000000000004,-2.111111111111111,-5.25,1.90029237516523,-0.5270462766947299
1,6,1,-5,-9,0,-6,656,50,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,6,2,-5,-9,1,-9,365,51,-2.0,3.333333333333334,5.0,-2.0,0.0,2.886751345948129,-0.410326119149236
1,6,3,-5,-9,0,-5,519,52,1.0,3.333333333333334,3.333333333333334,-2.0,-3.0,2.5819888974716116,0.0
1,6,4,-5,-9,0,-5,342,53,0.25,2.5000000000000004,3.333333333333334,-2.75,-3.0,2.41522945769824,-0.24460302826636404
1,6,5,-5,-9,0,-5,319,54,-0.20000000000000018,2.0,3.333333333333334,-3.2,-3.0,2.3094010767585034,-0.41152829597745866
1,6,6,-5,-9,0,-4,423,55,-0.5,1.6666666666666667,3.333333333333334,-3.5,-3.0,2.23606797749979,-0.5347474096147482
1,6,7,-5,-9,0,-5,399,56,-0.5714285714285716,1.4285714285714286,3.333333333333334,-3.5714285714285716,-3.0,2.182178902359924,-0.6305132490161602
1,6,8,-5,-9,0,-6,405,57,-0.75,1.25,3.333333333333334,-3.75,-3.0,2.1408720964441885,-0.7077078696006589
1,6,9,-5,-9,0,-4,359,58,-1.0,1.1111111111111112,3.333333333333334,-4.0,-3.0,2.1081851067789197,-0.771649304961094
1,6,10,-5,-9,0,-3,375,59,-1.0,1.0,3.333333333333334,-4.0,-3.0,2.081665999466133,-0.8257418583505538
1,7,1,1,0,0,1,774,60,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,7,2,1,0,0,-1,366,61,0.3333333333333333,3.333333333333334,5.0,0.3333333333333333,0.0,2.886751345948129,-0.410326119149236
1,7,3,1,0,1,0,340,62,-5.551115123125783e-17,2.5000000000000004,5.0,-5.551115123125783e-17,0.0,2.7386127875258306,-0.6549291474156
1,7,4,1,0,1,0,335,63,-5.551115123125783e-17,2.5000000000000004,3.333333333333334,-5.551115123125783e-17,0.0,2.41522945769824,-0.24460302826636404
1,7,5,1,0,1,-1,439,64,-5.551115123125783e-17,2.5000000000000004,2.5000000000000004,-5.551115123125783e-17,0.0,2.23606797749979,0.0
1,7,6,1,0,0,-1,368,65,0.19999999999999998,2.5000000000000004,2.0,-5.551115123125783e-17,-0.20000000000000004,2.1213203435596424,0.16692526771109462
1,7,7,1,0,0,3,463,66,-5.551115123125783e-17,2.0,2.0,-0.2000000000000001,-0.20000000000000004,2.0,0.0
1,7,8,1,0,0,0,343,67,0.5333333333333333,1.6666666666666667,2.0,0.33333333333333326,-0.20000000000000004,1.9148542155126762,-0.12321911363728955
1,7,9,1,0,0,2,367,68,0.48571428571428565,1.4285714285714286,2.0,0.28571428571428564,-0.20000000000000004,1.851640199545103,-0.21898495303870158
1,7,10,1,0,0,-1,359,69,0.7,1.25,2.0,0.49999999999999994,-0.20000000000000004,1.8027756377319946,-0.29617957362320024
1,8,1,1,-7,0,1,464,70,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
1,8,2,1,-7,0,1,396,71,0.3333333333333333,3.333333333333334,5.0,0.3333333333333333,0.0,2.886751345948129,-0.410326119149236
1,8,3,1,-7,0,-1,334,72,0.5,2.5000000000000004,5.0,0.5,0.0,2.7386127875258306,-0.6549291474156
1,8,4,1,-7,0,4,351,73,0.19999999999999996,2.0,5.0,0.19999999999999996,0.0,2.6457513110645907,-0.8218544151266947
1,8,5,1,-7,0,2,383,74,0.8333333333333333,1.6666666666666667,5.0,0.8333333333333333,0.0,2.581988897471611,-0.9450735287639842
1,8,6,1,-7,0,-1,360,75,1.0,1.4285714285714286,5.0,1.0,0.0,2.53546276418555,-1.0408393681653962
1,8,7,1,-7,0,0,343,76,0.75,1.25,5.0,0.75,0.0,2.5,-1.118033988749895
1,8,8,1,-7,0,0,455,77,0.6666666666666666,1.1111111111111112,5.0,0.6666666666666666,0.0,2.4720661623652207,-1.18197542411033
1,8,9,1,-7,0,2,415,78,0.6,1.0,5.0,0.6,0.0,2.449489742783178,-1.2360679774997898
1,8,10,1,-7,0,1,415,79,0.7272727272727273,0.9090909090909091,5.0,0.7272727272727273,0.0,2.4308621740219887,-1.2826053882541975
1,9,1,9,-4,0,8,474,80,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0
