Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_thompson
0,6,4,64,0,9.689543550307569,8.613257651027133,2.0,3.333333333333334,4.938023521151547,-3.675234129875586,2.3094010767585034,-0.41152829597745866,0.999904127022091
0,6,5,65,0,4.486764307947529,9.40517765588647,1.6666666666666667,3.333333333333334,5.729943526010884,-3.675234129875586,2.23606797749979,-0.5347474096147482,0.9999870105741752
0,6,6,66,0,0.6548671384676774,9.227580624734562,1.4285714285714286,3.333333333333334,5.552346494858976,-3.675234129875586,2.182178902359924,-0.6305132490161602,0.9999882429532679
0,6,7,67,0,1.5269326332275537,8.61539570518565,1.25,3.333333333333334,4.940161575310063,-3.675234129875586,2.1408720964441885,-0.7077078696006589,0.9999714209117702
0,6,8,68,0,6.087171209850532,8.236148044954259,1.1111111111111112,3.333333333333334,4.5609139150786735,-3.675234129875586,2.1081851067789197,-0.771649304961094,0.9999532266961534
0,6,9,69,0,9.555641422376288,8.388773774431446,1.0,3.333333333333334,4.713539644555859,-3.675234129875586,2.081665999466133,-0.8257418583505538,0.9999720921774742
0,7,0,70,1,-22.239932210676407,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
0,7,1,71,0,12.973783764238126,7.413310736892136,5.0,3.333333333333334,0.0,-7.413310736892136,2.886751345948129,0.410326119149236,0.994886323337986
0,7,2,72,0,8.53305932850395,11.73790532497151,3.333333333333334,3.333333333333334,4.324594588079375,-7.413310736892136,2.5819888974716116,0.0,0.999997267172117
0,7,3,73,0,8.648452079082018,12.790021510077654,2.5000000000000004,3.333333333333334,5.376710773185519,-7.413310736892136,2.41522945769824,-0.24460302826636404,0.9999999406777859
0,7,4,74,0,10.54947682017525,13.444369771256955,2.0,3.333333333333334,6.031059034364819,-7.413310736892136,2.3094010767585034,-0.41152829597745866,0.9999999970853557
0,7,5,75,0,7.358875360593638,14.19743940222536,1.6666666666666667,3.333333333333334,6.784128665333225,-7.413310736892136,2.23606797749979,-0.5347474096147482,0.9999999998918431
0,7,6,76,0,17.433942677338283,14.27954607297685,1.4285714285714286,3.333333333333334,6.866235336084713,-7.413310736892136,2.182178902359924,-0.6305132490161602,0.9999999999699944
0,7,7,77,0,6.8457715593841915,15.600509490633545,1.25,3.333333333333334,8.18719875374141,-7.413310736892136,2.1408720964441885,-0.7077078696006589,0.9999999999998416
0,7,8,78,0,17.136935064246064,15.451462024593853,1.1111111111111112,3.333333333333334,8.038151287701718,-7.413310736892136,2.1081851067789197,-0.771649304961094,0.9999999999998843
