Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_hybrid
42,4,8,8448,0,8.484600674170688,12.232365089498376,1.25,2.5000000000000004,8.656672491862258,-3.5756925976361176,1.9364916731037085,-0.46310484133429486,0.9999968207721843
42,4,9,8449,0,13.533458140815636,12.213245998643757,1.1111111111111112,2.5000000000000004,8.637553401007638,-3.5756925976361176,1.90029237516523,-0.5270462766947299,0.9999978144230939
42,5,0,8450,0,14.964247065013195,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
42,5,1,8451,0,12.958915651245556,4.988082355004398,3.333333333333334,5.0,4.988082355004398,0.0,2.886751345948129,-0.410326119149236,0.8915499198879848
42,5,2,8452,0,15.923432614905785,6.980790679064688,2.5000000000000004,5.0,6.980790679064688,0.0,2.7386127875258306,-0.6549291474156,0.9657414718517339
42,5,3,8453,0,20.13888641051421,8.769319066232908,2.0,5.0,8.769319066232908,0.0,2.6457513110645907,-0.8218544151266947,0.9910724911738568
42,5,4,8454,0,15.751072760190082,10.664246956946458,1.6666666666666667,5.0,10.664246956946458,0.0,2.581988897471611,-0.9450735287639842,0.9984191731445897
42,5,5,8455,0,16.03880597208258,11.390936357409833,1.4285714285714286,5.0,11.390936357409833,0.0,2.53546276418555,-1.0408393681653962,0.9993375880486676
42,5,6,8456,0,21.39226065934885,11.971920059243926,1.25,5.0,11.971920059243926,0.0,2.5,-1.118033988749895,0.99968937483347
42,5,7,8457,0,17.419848375214052,13.018624570366695,1.1111111111111112,5.0,13.018624570366695,0.0,2.4720661623652207,-1.18197542411033,0.9999161950825001
42,5,8,8458,0,16.486056936562107,13.458746950851431,1.0,5.0,13.458746950851431,0.0,2.449489742783178,-1.2360679774997898,0.9999569050495549
42,5,9,8459,0,21.84527860722244,13.733956949552402,0.9090909090909091,5.0,13.733956949552402,0.0,2.4308621740219887,-1.2826053882541975,0.9999729877737983
42,6,0,8460,1,-6.722028971879125,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
42,6,1,8461,1,-12.707461584163575,2.240676323959708,5.0,3.333333333333334,0.0,-2.240676323959708,2.886751345948129,0.410326119149236,0.7104450324336198
42,6,2,8462,0,3.108892927479002,4.857372639010675,5.0,2.5000000000000004,0.0,-4.857372639010675,2.7386127875258306,0.6549291474156,0.8975115763236545
42,6,3,8463,0,5.01482957310835,5.893670281503676,3.333333333333334,2.5000000000000004,1.0362976424930006,-4.857372639010675,2.41522945769824,0.24460302826636404,0.9594057010554791
42,6,4,8464,0,10.562424042696898,6.888303264157513,2.5000000000000004,2.5000000000000004,2.030930625146838,-4.857372639010675,2.23606797749979,0.0,0.986147072696224
42,6,5,8465,0,10.409804230452409,8.594601947667526,2.0,2.5000000000000004,3.7372293086568504,-4.857372639010675,2.1213203435596424,-0.16692526771109462,0.9981061328436909
42,6,6,8466,0,15.723664749711846,9.706697767966785,1.6666666666666667,2.5000000000000004,4.84932512895611,-4.857372639010675,2.041241452319315,-0.29014438134838416,0.9996608953941752
42,6,7,8467,0,10.259208866721389,11.260174856646177,1.4285714285714286,2.5000000000000004,6.402802217635501,-4.857372639010675,1.9820624179302297,-0.3859102207497962,0.9999754426891581
42,6,8,8468,0,10.978203461738401,11.742225687781913,1.25,2.5000000000000004,6.884853048771237,-4.857372639010675,1.9364916731037085,-0.46310484133429486,0.9999926531116597
42,6,9,8469,0,4.760011028339177,12.197042400333821,1.1111111111111112,2.5000000000000004,7.339669761323145,-4.857372639010675,1.90029237516523,-0.5270462766947299,0.9999977496802582
42,7,0,8470,1,-4.949324683516026,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
42,7,1,8471,0,7.404176450390956,1.6497748945053419,5.0,3.333333333333334,0.0,-1.6497748945053419,2.886751345948129,0.410326119149236,0.6585122217031862
42,7,2,8472,1,-8.048712450209697,4.117833711302327,3.333333333333334,3.333333333333334,2.4680588167969852,-1.6497748945053419,2.5819888974716116,0.0,0.8727947792032489
42,7,3,8473,0,6.6756796457648875,5.717568100228416,3.333333333333334,2.5000000000000004,2.4680588167969852,-3.249509283431431,2.41522945769824,0.24460302826636404,0.9546508227080975
42,7,4,8474,0,3.645125394237485,6.769473307470392,2.5000000000000004,2.5000000000000004,3.519964024038961,-3.249509283431431,2.23606797749979,0.0,0.9847466921288621
42,7,5,8475,0,10.729247713118395,6.794505581510096,2.0,2.5000000000000004,3.5449962980786656,-3.249509283431431,2.1213203435596424,-0.16692526771109462,0.9889576770523703
42,7,6,8476,0,4.91884583230318,7.991880817350052,1.6666666666666667,2.5000000000000004,4.742371533918621,-3.249509283431431,2.041241452319315,-0.29014438134838416,0.9974281642434893
42,7,7,8477,0,6.131341159847053,8.017091431404989,1.4285714285714286,2.5000000000000004,4.767582147973558,-3.249509283431431,1.9820624179302297,-0.3859102207497962,0.9980769924831501
42,7,8,8478,0,7.520582277728695,8.187561307889176,1.25,2.5000000000000004,4.938052024457745,-3.249509283431431,1.9364916731037085,-0.46310484133429486,0.9987421763584718
42,7,9,8479,0,10.253565852574159,8.474509113808171,1.1111111111111112,2.5000000000000004,5.224999830376739,-3.249509283431431,1.90029237516523,-0.5270462766947299,0.9992810149007219
42,8,0,8480,1,15.571299418180532,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
42,8,1,8481,1,19.67227636871403,-5.190433139393511,5.0,3.333333333333334,0.0,5.190433139393511,2.886751345948129,0.410326119149236,0.0994126846560971
42,8,2,8482,1,17.801717399616752,-8.810893946723642,5.0,2.5000000000000004,0.0,8.810893946723642,2.7386127875258306,0.6549291474156,0.010748370614445701
42,8,3,8483,1,17.60816523705275,-10.609058637302264,5.0,2.0,0.0,10.609058637302264,2.6457513110645907,0.8218544151266947,0.0020815688532510746
42,8,4,8484,1,13.815362218218135,-11.775576403927344,5.0,1.6666666666666667,0.0,11.775576403927344,2.581988897471611,0.9450735287639842,0.0005587275097127477
42,8,5,8485,1,11.724396871609695,-12.066974377397457,5.0,1.4285714285714286,0.0,12.066974377397457,2.53546276418555,1.0408393681653962,0.0003355892602890535
42,8,6,8486,1,10.284266683988553,-12.024152189173988,5.0,1.25,0.0,12.024152189173988,2.5,1.118033988749895,0.0002939961674503504
42,8,7,8487,1,20.73824295607423,-11.830831577486718,5.0,1.1111111111111112,0.0,11.830831577486718,2.4720661623652207,1.18197542411033,0.0003130514699022869
42,8,8,8488,1,13.44423002506729,-12.72157271534547,5.0,1.0,0.0,12.72157271534547,2.449489742783178,1.2360679774997898,0.00010304300964465658
42,8,9,8489,1,21.060143658628416,-12.78726883441109,5.0,0.9090909090909091,0.0,12.78726883441109,2.4308621740219887,1.2826053882541975,8.523191320562167e-05
42,9,0,8490,0,1.0429439538776575,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
42,9,1,8491,1,-21.757292571345783,0.3476479846258858,3.333333333333334,5.0,0.3476479846258858,0.0,2.886751345948129,-0.410326119149236,0.5342911044296597
42,9,2,8492,0,-1.960120600249524,7.600078841741147,3.333333333333334,3.333333333333334,0.3476479846258858,-7.252430857115261,2.5819888974716116,0.0,0.9822885589883036
42,9,3,8493,0,7.387193442593643,7.023136695522294,2.5000000000000004,3.333333333333334,-0.22929416159296673,-7.252430857115261,2.41522945769824,-0.24460302826636404,0.981146220914028
42,9,4,8494,0,-1.0046929169068226,8.546434216359616,2.0,3.333333333333334,1.2940033592443556,-7.252430857115261,2.3094010767585034,-0.41152829597745866,0.995910807304837
42,9,5,8495,0,1.8436107013397764,8.16331817033442,1.6666666666666667,3.333333333333334,0.9108873132191593,-7.252430857115261,2.23606797749979,-0.5347474096147482,0.9954584060944044
42,9,6,8496,0,1.8692572544499013,8.296564368637366,1.4285714285714286,3.333333333333334,1.0441335115221047,-7.252430857115261,2.182178902359924,-0.6305132490161602,0.9967058708410057
42,9,7,8497,0,3.7464505170141784,8.39970483650334,1.25,3.333333333333334,1.1472739793880793,-7.252430857115261,2.1408720964441885,-0.7077078696006589,0.9974749495229528
42,9,8,8498,0,0.30952319579724363,8.688502229572906,1.1111111111111112,3.333333333333334,1.4360713724576457,-7.252430857115261,2.1081851067789197,-0.771649304961094,0.998386209676071
42,9,9,8499,0,-3.753987628540568,8.575847411906867,1.0,3.333333333333334,1.3234165547916055,-7.252430857115261,2.081665999466133,-0.8257418583505538,0.9983801808194287
42,10,0,8500,0,-27.489335764681996,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
42,10,1,8501,1,-3.3568027390161532,-9.163111921560665,3.333333333333334,5.0,-9.163111921560665,0.0,2.886751345948129,-0.410326119149236,0.011653869146891782
42,10,2,8502,1,-6.673897287310819,-8.044177675221947,3.333333333333334,3.333333333333334,-9.163111921560665,-1.1189342463387177,2.5819888974716116,0.0,0.0129935293666417
42,10,3,8503,1,-3.4304472072974663,-6.655436914978922,3.333333333333334,2.5000000000000004,-9.163111921560665,-2.507675006581743,2.41522945769824,0.24460302826636404,0.02446369753290384
42,10,4,8504,1,-0.35588632903942635,-6.470882474835777,3.333333333333334,2.0,-9.163111921560665,-2.6922294467248875,2.3094010767585034,0.41152829597745866,0.022623287978550143
42,10,5,8505,1,-4.598741158434895,-6.860272994450021,3.333333333333334,1.6666666666666667,-9.163111921560665,-2.3028389271106438,2.23606797749979,0.5347474096147482,0.014172858692487328
42,10,6,8506,1,-6.887235463667135,-6.532286961403699,3.333333333333334,1.4285714285714286,-9.163111921560665,-2.6308249601569655,2.182178902359924,0.6305132490161602,0.016209653792992825
42,10,7,8507,1,-4.534316715566528,-6.000235648464928,3.333333333333334,1.25,-9.163111921560665,-3.162876273095737,2.1408720964441885,0.7077078696006589,0.022595193890326895
42,10,8,8508,1,-2.279092769923199,-5.847853377079284,3.333333333333334,1.1111111111111112,-9.163111921560665,-3.3152585444813805,2.1081851067789197,0.771649304961094,0.023724047409264676
42,10,9,8509,1,-6.6515974217485665,-5.951469954535103,3.333333333333334,1.0,-9.163111921560665,-3.2116419670255625,2.081665999466133,0.8257418583505538,0.020521158607888994
