Participant,Block,Trial,State,Action,Reward,V_t,posterior_std_0,posterior_std_1,poster_mean_0,poster_mean_1,TU,RU,P_a0_ucb
9,12,1,1921,1,2.6447888908681434,-2.9491414518492007,3.333333333333334,5.0,-2.9491414518492007,0.0,2.886751345948129,-0.410326119149236,1.854849224667172e-191
9,12,2,1922,1,8.782993430868148,-3.8307377488052485,3.333333333333334,3.333333333333334,-2.9491414518492007,0.8815962969560478,2.5819888974716116,0.0,0.0
9,12,3,1923,1,3.6844933715039416,-5.8060870322832745,3.333333333333334,2.5000000000000004,-2.9491414518492007,2.8569455804340733,2.41522945769824,0.24460302826636404,0.0
9,12,4,1924,1,7.060042731828797,-5.9715965904972474,3.333333333333334,2.0,-2.9491414518492007,3.022455138648047,2.3094010767585034,0.41152829597745866,0.0
9,12,5,1925,1,7.331161121033038,-6.644527856027373,3.333333333333334,1.6666666666666667,-2.9491414518492007,3.695386404178172,2.23606797749979,0.5347474096147482,0.0
9,12,6,1926,1,-0.29522578500788105,-7.163924244149497,3.333333333333334,1.4285714285714286,-2.9491414518492007,4.214782792300296,2.182178902359924,0.6305132490161602,0.0
9,12,7,1927,1,3.9976763746946364,-6.600173171985975,3.333333333333334,1.25,-2.9491414518492007,3.651031720136774,2.1408720964441885,0.7077078696006589,0.0
9,12,8,1928,1,0.36967176630800014,-6.638689244714627,3.333333333333334,1.1111111111111112,-2.9491414518492007,3.6895477928654254,2.1081851067789197,0.771649304961094,0.0
9,12,9,1929,1,5.660618041836248,-6.306701642058884,3.333333333333334,1.0,-2.9491414518492007,3.357560190209683,2.081665999466133,0.8257418583505538,0.0
9,13,0,1930,0,-8.634389936434511,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
9,13,1,1931,1,-4.529642319783598,-2.8781299788115033,3.333333333333334,5.0,-2.8781299788115033,0.0,2.886751345948129,-0.410326119149236,1.838610647663146e-182
9,13,2,1932,1,-11.051978278265427,-1.3682492055503042,3.333333333333334,3.333333333333334,-2.8781299788115033,-1.5098807732611992,2.5819888974716116,0.0,6.459403134079702e-43
9,13,3,1933,0,-10.623869976402059,1.0172751707007528,3.333333333333334,2.5000000000000004,-2.8781299788115033,-3.895405149512256,2.41522945769824,0.24460302826636404,1.0
9,13,4,1934,1,-1.895070031941974,-0.9191598286968867,2.5000000000000004,2.5000000000000004,-4.814564978209143,-3.895405149512256,2.23606797749979,0.0,1.9352353794059532e-20
9,13,5,1935,1,-2.320451537593806,-1.3192268522109432,2.5000000000000004,2.0,-4.814564978209143,-3.4953381259981997,2.1213203435596424,0.16692526771109462,4.860757153958433e-40
9,13,6,1936,1,-10.772236111678412,-1.5150412836116756,2.5000000000000004,1.6666666666666667,-4.814564978209143,-3.2995236945974673,2.041241452319315,0.29014438134838416,3.764608215049391e-52
9,13,7,1937,1,-4.47220825098636,-0.44751093831439803,2.5000000000000004,1.4285714285714286,-4.814564978209143,-4.367054039894745,1.9820624179302297,0.3859102207497962,3.818610193540114e-06
9,13,8,1938,1,-6.854947328789054,-0.43436666192794604,2.5000000000000004,1.25,-4.814564978209143,-4.380198316281197,1.9364916731037085,0.46310484133429486,7.006205493409644e-06
9,13,9,1939,1,-6.220479810340894,-0.15939454942707343,2.5000000000000004,1.1111111111111112,-4.814564978209143,-4.655170428782069,1.90029237516523,0.5270462766947299,0.05547412174837721
9,14,0,1940,1,-14.782291978060604,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
9,14,1,1941,0,-0.25010095624634543,4.927430659353535,5.0,3.333333333333334,0.0,-4.927430659353535,2.886751345948129,0.410326119149236,1.0
9,14,2,1942,0,-2.0789516321714947,4.844063673938086,3.333333333333334,3.333333333333334,-0.08336698541544847,-4.927430659353535,2.5819888974716116,0.0,1.0
9,14,3,1943,0,0.5086027283881651,4.345167512249074,2.5000000000000004,3.333333333333334,-0.5822631471044601,-4.927430659353535,2.41522945769824,-0.24460302826636404,1.0
9,14,4,1944,0,1.3406662286155944,4.5633406873475995,2.0,3.333333333333334,-0.36408997200593507,-4.927430659353535,2.3094010767585034,-0.41152829597745866,1.0
9,14,5,1945,0,-1.777019844121377,4.847466720784521,1.6666666666666667,3.333333333333334,-0.07996393856901352,-4.927430659353535,2.23606797749979,-0.5347474096147482,1.0
9,14,6,1946,0,-1.0175102386824153,4.605030162848469,1.4285714285714286,3.333333333333334,-0.32240049650506547,-4.927430659353535,2.182178902359924,-0.6305132490161602,1.0
9,14,7,1947,0,-0.816886528208477,4.5181414450763,1.25,3.333333333333334,-0.4092892142772342,-4.927430659353535,2.1408720964441885,-0.7077078696006589,1.0
9,14,8,1948,0,-1.0831287933239848,4.472852854639496,1.1111111111111112,3.333333333333334,-0.45457780471403897,-4.927430659353535,2.1081851067789197,-0.771649304961094,1.0
9,14,9,1949,0,0.2754340663322212,4.409997755778501,1.0,3.333333333333334,-0.5174329035750336,-4.927430659353535,2.081665999466133,-0.8257418583505538,1.0
9,15,0,1950,1,1.5587505106601893,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
9,15,1,1951,1,6.409055864925695,-0.5195835035533964,5.0,3.333333333333334,0.0,0.5195835035533964,2.886751345948129,0.410326119149236,1.0190146363565053e-07
9,15,2,1952,1,9.926161552482641,-1.9919515938964714,5.0,2.5000000000000004,0.0,1.9919515938964714,2.7386127875258306,0.6549291474156,1.3782127062026796e-88
9,15,3,1953,1,2.9901083200097425,-3.5787935856137056,5.0,2.0,0.0,3.5787935856137056,2.6457513110645907,0.8218544151266947,8.507142196001026e-281
9,15,4,1954,1,0.9500694335476454,-3.4806793746797116,5.0,1.6666666666666667,0.0,3.4806793746797116,2.581988897471611,0.9450735287639842,9.59857287883262e-266
9,15,5,1955,1,-2.1449091955857664,-3.119163668803702,5.0,1.4285714285714286,0.0,3.119163668803702,2.53546276418555,1.0408393681653962,6.917099376029322e-214
9,15,6,1956,1,2.636380431662949,-2.4611545607550185,5.0,1.25,0.0,2.4611545607550185,2.5,1.118033988749895,4.751762104391689e-134
9,15,7,1957,1,-1.5913192085646874,-2.4806241019670106,5.0,1.1111111111111112,0.0,2.4806241019670106,2.4720661623652207,1.18197542411033,3.8386607124982e-136
9,15,8,1958,1,6.471900908061305,-2.0734297709138407,5.0,1.0,0.0,2.0734297709138407,2.449489742783178,1.2360679774997898,8.495849386565765e-96
9,15,9,1959,1,4.658075667722453,-2.473290783381792,5.0,0.9090909090909091,0.0,2.473290783381792,2.4308621740219887,1.2826053882541975,2.367705373189221e-135
9,16,0,1960,1,-23.038306899772294,0.0,5.0,5.0,0.0,0.0,3.1622776601683795,0.0,0.5
9,16,1,1961,0,18.112509394379014,7.679435633257431,5.0,3.333333333333334,0.0,-7.679435633257431,2.886751345948129,0.410326119149236,1.0
9,16,2,1962,0,15.310578901361774,13.716938764717103,3.333333333333334,3.333333333333334,6.037503131459671,-7.679435633257431,2.5819888974716116,0.0,1.0
9,16,3,1963,0,18.536042700962405,16.03520770719263,2.5000000000000004,3.333333333333334,8.355772073935197,-7.679435633257431,2.41522945769824,-0.24460302826636404,1.0
9,16,4,1964,0,16.117112777886792,18.07126183259807,2.0,3.333333333333334,10.391826199340638,-7.679435633257431,2.3094010767585034,-0.41152829597745866,1.0
9,16,5,1965,0,19.12953891674416,19.025476262355763,1.6666666666666667,3.333333333333334,11.346040629098331,-7.679435633257431,2.23606797749979,-0.5347474096147482,1.0
9,16,6,1966,0,15.41838250048182,20.13740458916231,1.4285714285714286,3.333333333333334,12.457968955904878,-7.679435633257431,2.182178902359924,-0.6305132490161602,1.0
