Participant,Block,Trial,Global_Trial,Mean_Reward_Arm0,Mean_Reward_Arm1,RNN_Action,RNN_Reward,RNN_Prob_Action0,Kalman_V_t,Kalman_post_mean_0,Kalman_post_mean_1,Kalman_post_variance_0,Kalman_post_variance_1,Kalman_kalman_gain_0,Kalman_kalman_gain_1,Kalman_RU,Kalman_TU
33,10,9,6038,1.9910727796786247,-9.256466324367697,0,2.9568661284122104,1.0,4.819083519744108,2.4664907125658337,-2.352592807178275,1.0,3.333333333333334,0.1,0.0,-0.8257418583505538,2.081665999466133
33,11,1,6039,-8.736335914737355,-1.4970482496023854,1,-9.87462513480965,0.14740273,3.2915417116032164,0.0,-3.2915417116032164,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
33,11,2,6040,-8.736335914737355,-1.4970482496023854,0,-7.336465996665622,0.98724115,0.8460530460480093,-2.445488665555207,-3.2915417116032164,3.333333333333334,3.333333333333334,0.3333333333333333,0.0,0.0,2.5819888974716116
33,11,3,6041,-8.736335914737355,-1.4970482496023854,1,-3.9041170437347823,0.5069494,0.9991968790809009,-2.445488665555207,-3.444685544636108,3.333333333333334,2.5000000000000004,0.0,0.25000000000000006,0.24460302826636404,2.41522945769824
33,11,4,6042,-8.736335914737355,-1.4970482496023854,0,-9.065669792249114,0.9997335,-0.6558484025925764,-4.100533947228684,-3.444685544636108,2.5000000000000004,2.5000000000000004,0.25000000000000006,0.0,0.0,2.23606797749979
33,11,5,6043,-8.736335914737355,-1.4970482496023854,0,-10.67783596801392,0.999974,-1.9713088067496236,-5.415994351385732,-3.444685544636108,2.0,2.5000000000000004,0.20000000000000004,0.0,-0.16692526771109462,2.1213203435596424
33,11,6,6044,-8.736335914737355,-1.4970482496023854,1,2.241872794080125,0.00032029278,-3.1086204744928705,-5.415994351385732,-2.307373876892861,2.0,2.0,0.0,0.20000000000000004,0.0,2.0
33,11,7,6045,-8.736335914737355,-1.4970482496023854,1,0.9001428329320514,8.063524e-05,-3.6432065927970223,-5.415994351385732,-1.772787758588709,2.0,1.6666666666666667,0.0,0.16666666666666666,0.12321911363728955,1.9148542155126762
33,11,8,6046,-8.736335914737355,-1.4970482496023854,1,-7.917979487473478,0.00075232587,-2.7653220600991983,-5.415994351385732,-2.6506722912865333,2.0,1.4285714285714286,0.0,0.14285714285714288,0.21898495303870158,1.851640199545103
33,11,9,6047,-8.736335914737355,-1.4970482496023854,1,0.09615735287473333,0.2507017,-3.1086757656193567,-5.415994351385732,-2.307318585766375,2.0,1.25,0.0,0.125,0.29617957362320024,1.8027756377319946
33,12,1,6048,-11.775107392615087,13.54084610795391,1,18.635434423848157,0.14740273,-6.211811474616052,0.0,6.211811474616052,5.0,3.333333333333334,0.0,0.3333333333333333,0.410326119149236,2.886751345948129
33,12,2,6049,-11.775107392615087,13.54084610795391,1,18.338542873756623,0.0004759226,-9.243494324401196,0.0,9.243494324401196,5.0,2.5000000000000004,0.0,0.25000000000000006,0.6549291474156,2.7386127875258306
33,12,3,6050,-11.775107392615087,13.54084610795391,1,11.221875095410097,0.014599671,-9.639170478602976,0.0,9.639170478602976,5.0,2.0,0.0,0.20000000000000004,0.8218544151266947,2.6457513110645907
33,12,4,6051,-11.775107392615087,13.54084610795391,1,13.548865368194773,1.5506803e-08,-10.290786293534943,0.0,10.290786293534943,5.0,1.6666666666666667,0.0,0.16666666666666666,0.9450735287639842,2.581988897471611
33,12,5,6052,-11.775107392615087,13.54084610795391,1,13.020526806616878,3.5378157e-08,-10.68074922397522,0.0,10.68074922397522,5.0,1.4285714285714286,0.0,0.14285714285714288,1.0408393681653962,2.53546276418555
33,12,6,6053,-11.775107392615087,13.54084610795391,1,15.733489226898522,0.18304804,-11.312341724340632,0.0,11.312341724340632,5.0,1.25,0.0,0.125,1.118033988749895,2.5
33,12,7,6054,-11.775107392615087,13.54084610795391,1,12.544467424487621,0.00025245643,-11.44924457991252,0.0,11.44924457991252,5.0,1.1111111111111112,0.0,0.1111111111111111,1.18197542411033,2.4720661623652207
33,12,8,6055,-11.775107392615087,13.54084610795391,1,11.27677721486581,1.330922e-06,-11.43199784340785,0.0,11.43199784340785,5.0,1.0,0.0,0.1,1.2360679774997898,2.449489742783178
